doctor_id,doctor_name,specialty,department_id
1,Sara Baker,Pediatrics,30
2,Suzanne Moses,Emergency,13
3,Scott Collins,Neurology,47
4,Michael Smith,General Medicine,15
5,Lori Lawson,Cardiology,39
6,David Alexander,Pediatrics,46
7,Jerry Vasquez,Neurology,16
8,Amy Anderson,Pediatrics,2
9,Linda Reid,Oncology,23
10,Rebecca Simon,Oncology,14
11,Dean Bauer,Neurology,49
12,Kenneth Collins,General Medicine,41
13,Ms. Michelle Taylor DDS,Pediatrics,26
14,Lauren Edwards PhD,Pediatrics,38
15,Adam Berger,Orthopedics,38
16,Geoffrey Rios,Neurology,29
17,Dwayne Alvarado,Pediatrics,8
18,Laura Moore,Dermatology,13
19,Claudia Simmons,Orthopedics,37
20,Andrea Wilson,Emergency,38
21,Daniel George,General Medicine,45
22,Adam Johnson,Dermatology,9
23,Kristen Parker,Neurology,18
24,Keith Jimenez,Cardiology,23
25,Debbie Fritz,Cardiology,7
26,Michael Richard,Radiology,11
27,Molly West,Cardiology,2
28,Craig Mccoy,Radiology,46
29,Nathaniel Gomez,ENT,25
30,Jennifer Smith,Radiology,1
31,Ronald Jones MD,Neurology,12
32,Michael Warren,Oncology,43
33,Sheena Velez,ENT,4
34,Tyler Williams,Neurology,38
35,Larry Mills,General Medicine,4
36,Tina Eaton,Cardiology,16
37,Kim Scott,ENT,28
38,Ryan Sanchez,Pediatrics,21
39,Paula Jones,Emergency,22
40,Kimberly Alvarez,Radiology,6
41,Sarah Fernandez,ENT,40
42,Katherine Brown,Cardiology,50
43,Aaron Gregory,General Medicine,28
44,Jason Campbell,Cardiology,27
45,Amanda Curtis,General Medicine,30
46,Elizabeth Butler,Pediatrics,13
47,Joan Sellers,Neurology,23
48,Jennifer Salas,Cardiology,50
49,Bethany Reed,General Medicine,26
50,Christina Weber,Emergency,25
51,Megan Miller,Neurology,15
52,Stephen Anthony,Dermatology,43
53,Gregory Beck,Cardiology,48
54,Edward Christian,Emergency,37
55,Eric Gould,Emergency,49
56,Brittany Johnson,ENT,13
57,Kelly Garcia,Radiology,10
58,Lisa Greer,Orthopedics,48
59,Jay Lopez,Orthopedics,26
60,Barry Wolf,Radiology,45
61,Dwayne Harvey,Dermatology,32
62,Samantha Serrano,Pediatrics,11
63,Patricia Colon,Emergency,20
64,Michael George,Orthopedics,44
65,Lonnie Williams,ENT,17
66,Megan Scott,Radiology,25
67,Rebecca Murray,Emergency,47
68,Brenda Davis,Neurology,48
69,George Lawson,ENT,13
70,Ricardo Anderson,Dermatology,47
71,Patrick Woods,ENT,3
72,Laura Vazquez,ENT,33
73,Elizabeth Farmer,Cardiology,28
74,Andrew Greene,Neurology,26
75,Mark Mccoy,Pediatrics,16
76,Stephanie Salazar,Cardiology,50
77,Stephen Garcia,Pediatrics,28
78,Katherine Santana,Orthopedics,13
79,James Garcia,Cardiology,44
80,Michelle James,Cardiology,5
81,Jenny Brown,Neurology,44
82,Kimberly Williamson,General Medicine,3
83,John Mack,Orthopedics,43
84,Christopher Le,General Medicine,38
85,Matthew Cunningham,Cardiology,10
86,Jessica Hendricks,Emergency,11
87,Jesse Stokes,Cardiology,20
88,Caroline King,Dermatology,26
89,Jason Jones,Radiology,37
90,Wayne Bradley,ENT,43
91,Kyle Fletcher,General Medicine,32
92,Christopher Burns,ENT,38
93,Kimberly Davis,Dermatology,49
94,David Manning,Orthopedics,11
95,Jeffery Daniel,Orthopedics,26
96,William Gonzalez,Dermatology,33
97,Kelly Robinson DDS,Oncology,4
98,Timothy Williams,Oncology,15
99,Patricia Camacho,General Medicine,24
100,Jaime Dyer,Orthopedics,25
101,Jesse Smith,ENT,4
102,Jeffrey Dean,Radiology,24
103,Christian Lawson,ENT,22
104,Maria White,ENT,30
105,Daniel Rich,Orthopedics,36
106,James Byrd,Emergency,10
107,Jonathan Carter,ENT,2
108,Jacob Diaz,Orthopedics,4
109,Stuart Williams,ENT,1
110,Sharon Allen,Neurology,10
111,Jennifer Gilbert,Neurology,41
112,Stephen Allen,Dermatology,25
113,Leslie Wallace,General Medicine,49
114,Adam Wilson,Emergency,19
115,Rachael Davis,General Medicine,35
116,Todd Foster,ENT,20
117,Matthew Reed,Orthopedics,38
118,Randy Roberts,Neurology,14
119,Savannah Jackson,Radiology,8
120,Katelyn Graham,Orthopedics,34
121,Troy Brooks,Emergency,12
122,Raven Hernandez,Orthopedics,30
123,Benjamin Smith,Radiology,46
124,Stephanie Campbell,General Medicine,38
125,Timothy Moore,Pediatrics,38
126,Wendy Cannon,Cardiology,39
127,Sean Brown,Emergency,50
128,Renee Sanders,Dermatology,3
129,James Preston,Radiology,33
130,Kevin Singleton,General Medicine,36
131,Christopher Torres,Cardiology,40
132,Susan Mccormick,Oncology,23
133,Ellen Pena,Radiology,33
134,Aaron Ramsey,General Medicine,36
135,Richard Saunders,Orthopedics,37
136,Gina George,Pediatrics,25
137,Leah Hernandez,General Medicine,9
138,Melissa Greene,Radiology,27
139,Daniel Soto,Orthopedics,24
140,Andrea Morris PhD,Orthopedics,35
141,Ashley Lynch,ENT,28
142,William Wells,Dermatology,37
143,Mark Mitchell,Radiology,31
144,Danielle Green,Pediatrics,48
145,Amy Conner,Dermatology,47
146,Zachary Chapman,Oncology,27
147,Dr. Brandon Johnson,Radiology,46
148,Peter Taylor,Neurology,4
149,Raymond Mejia,Orthopedics,26
150,Samantha Dixon,Dermatology,47
151,Theresa Davis,Cardiology,13
152,Mariah Rogers,Pediatrics,13
153,Rebecca Pineda,Oncology,45
154,James Williams,Orthopedics,23
155,Gary Barnes,Oncology,47
156,Dakota Silva,Oncology,29
157,Wanda Brown,Orthopedics,30
158,Bryan Cox,Neurology,29
159,Vicki Alexander,General Medicine,18
160,Janice Gray,Orthopedics,16
161,Ian Reeves,Radiology,29
162,Cheryl Marshall,Emergency,46
163,Kent Brown,Emergency,11
164,Monica Kelly,ENT,14
165,George Higgins,General Medicine,30
166,David Rose,Orthopedics,32
167,Mrs. Carolyn Gallagher,ENT,26
168,Hunter Medina,ENT,27
169,Michael Jones,Radiology,32
170,Susan Mcgee,Cardiology,8
171,Jennifer Santiago,Pediatrics,35
172,David Price,Dermatology,10
173,Thomas Brooks,Orthopedics,34
174,April Raymond,ENT,16
175,Randall Greene,Oncology,20
176,Donald Parks,Dermatology,46
177,Sheri Becker,Emergency,34
178,Tony Cowan,General Medicine,38
